Age,Gender,Class,PrevScore,Attendance,Assignments,FailedSubjects,InternalScore,StudyDaily,SelfWeekly,Coaching,PrepLevel,Internet,Extracurriculars,ParentEdu,FamilySupport,FinalScore
20,Female,University Undergrad,80.4586715954577,91.96493169779394,13,0,25.538096284513045,4.647316895130799,16.55160698738487,Yes,Medium,Yes,No,Bachelor,Medium,71.0
17,Male,Grade 10,73.92604663453348,60.76361900767282,9,3,20.058710962401033,4.164208704386311,16.117431023520552,No,Medium,Yes,Yes,Bachelor,Medium,45.0
21,Female,Grade 12,56.54639184690494,78.73544616417455,12,2,21.003500784259796,1.3545363734598899,10.111699780826807,Yes,Low,Yes,No,Bachelor,Medium,48.0
18,Female,Grade 9,86.56166726642218,93.03865038235199,14,0,26.20087848445846,1.1296374612483788,9.415210828417282,No,Medium,Yes,Yes,PhD,High,75.0
20,Male,Grade 11,94.44652767662029,96.17089566106013,15,0,27.579336558106622,3.0467363417264655,15.663044494009139,No,Medium,Yes,Yes,Bachelor,High,82.0
16,Male,Grade 10,71.76492192935169,82.61760911960856,14,2,20.75027442166897,2.8313461663804493,16.795217175977534,No,Low,Yes,No,High School,Medium,47.0
20,Male,Grade 11,76.12642454141483,98.81461765948015,15,1,27.191641870281007,7.652423382224534,23.682356631227368,Yes,Low,No,Yes,Bachelor,High,72.0
21,Male,Grade 9,72.42086385755253,77.8497530726703,13,0,23.175619590565187,6.377170568325723,21.208154062146278,No,Medium,Yes,No,Bachelor,Low,63.0
18,Male,Grade 9,76.3644302679856,84.35576130444224,10,2,22.36129743728481,5.4494322144429495,22.037014566551605,No,Low,Yes,Yes,Bachelor,High,55.0
17,Female,University Undergrad,68.56529492048325,88.70131208772612,14,2,25.137998148829013,4.382360667632038,15.97399110748573,No,Medium,Yes,No,Master,High,61.0
21,Male,Grade 9,69.58522912187436,65.53084807784174,11,2,20.295566694512573,1.755256480449885,20.39907416521774,Yes,Low,Yes,Yes,Master,Medium,47.0
21,Other,Grade 11,80.86861120596839,91.08244768842869,14,0,22.75825707757875,7.838425041382129,30.062433981656792,Yes,Medium,Yes,No,High School,High,77.0
16,Male,Grade 12,98.14748994275729,75.34209196670784,13,1,28.435726059648566,3.3128052368015752,14.703423163614254,Yes,High,No,No,Bachelor,Medium,73.0
19,Female,Grade 12,53.199145187179134,87.43139482020402,13,2,19.922418808263085,1.301942018354336,7.359418235811431,Yes,Medium,Yes,No,Bachelor,Medium,52.0
18,Female,University Undergrad,68.7542501871644,72.52213278499782,15,2,23.225151905112135,4.203491717868095,16.169988304025154,No,Medium,No,No,Master,High,57.0
15,Female,Grade 11,55.834474177215014,95.12730577455034,13,2,22.78103665826201,7.0549850870981246,26.255377245239906,No,Medium,Yes,Yes,Bachelor,Medium,59.0
